#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
5.368, -0.783952819, 3.986974467, 293.9688137, -8.412, -1.152270876, -11.79347933, 293.2325029, 0.276, -0.29379817, 1.215249176, 293.154204, -9.632, 0.977001809, -13.42704709, 293.181976, 44, 0.04762482, 26.67225371, 293.1524568
5.612, -1.099466159, 4.325346741, 293.9433837, -8.168, -1.080841884, -11.37377605, 293.2496503, 0.52, -0.123861563, 1.320412999, 293.1549146, -9.388, 0.950696103, -13.32556399, 293.1847649, 46, 0.047811585, 27.25866114, 293.1524575
5.856, -1.382511333, 4.663719016, 293.8984372, -7.924, -1.007233686, -10.95407278, 293.2785259, 0.764, 0.036274879, 1.425576821, 293.1558934, -9.144, 0.893028567, -13.21064653, 293.1876103, 48, 0.051173357, 28.43147601, 293.1524629
6.1, -1.626646533, 4.937800559, 293.855728, -7.68, -0.933999344, -10.53436951, 293.3174152, 1.008, 0.183779052, 1.530740644, 293.1571649, -8.9, 0.804890317, -13.09572907, 293.1900864, 50, 0.054721893, 29.60429087, 293.1524729
6.344, -1.826627274, 5.060812741, 293.8376184, -7.436, -0.863499076, -9.694962961, 293.4013569, 1.252, 0.316261949, 1.741068289, 293.160424, -8.656, 0.688131967, -12.98081162, 293.1921343, 52, 0.056402779, 30.57260477, 293.1524845
6.588, -1.978341536, 5.183824924, 293.8213883, -7.192, -0.797882928, -8.855556415, 293.4699487, 1.496, 0.431797379, 1.951395934, 293.1647914, -8.412, 0.545447112, -12.86589416, 293.1938706, 54, 0.054535128, 31.54091867, 293.152499
6.832, -2.079046813, 5.306837106, 293.8076204, -6.948, -0.739046089, -8.100090524, 293.5034393, 1.74, 0.528936522, 2.161723579, 293.1702039, -8.168, 0.380278506, -12.75097671, 293.195198, 56, 0.047811585, 32.50923256, 293.1525167
7.076, -2.127336485, 5.552861471, 293.7875498, -6.704, -0.688538671, -7.489297958, 293.5098503, 1.984, 0.606710156, 2.372051224, 293.176467, -7.924, 0.196789596, -12.5211418, 293.1964743, 58, 0.039220392, 33.47754646, 293.1525361
7.32, -2.123204067, 5.798885837, 293.7808509, -6.46, -0.647551787, -6.878505392, 293.498016, 2.228, 0.664600771, 2.792706515, 293.1900894, -7.68, -3.23E-04, -12.2542854, 293.1959503, 60, 0.027827722, 35.41417425, 293.1525813
7.564, -2.067905619, 6.044910202, 293.7893681, -6.216, -0.616901591, -6.600822215, 293.4914694, 2.472, 0.702496302, 3.634017095, 293.210737, -7.436, -0.205965993, -11.987429, 293.1939945, 62, 0.016061523, 37.35080204, 293.1526286
7.808, -1.964064116, 6.290934567, 293.8132131, -5.972, -0.597017687, -6.323139037, 293.4845455, 2.716, 0.720693445, 4.15803132, 293.2168753, -7.192, -0.414741654, -11.97015607, 293.1938216, 64, 0.005976209, 39.28742984, 293.1526744
8.052, -1.81548021, 6.536958932, 293.850895, -5.728, -0.587928136, -6.073224178, 293.4783962, 2.96, 0.719824403, 4.682045544, 293.2164638, -6.948, -0.621163549, -11.93561019, 293.1934723, 66, -2.74E-07, 41.22405763, 293.1527172
8.296, -1.627007886, 7.029007662, 293.9502183, -5.484, -0.589268184, -5.823309318, 293.472639, 3.204, 0.700782191, 5.153658346, 293.212073, -6.704, -0.819798947, -11.86651845, 293.19277, 68, 0.001680612, 44.70998766, 293.1527854
8.54, -1.404423695, 7.521056392, 294.0584773, -5.24, -0.600312295, -5.598385945, 293.4679718, 3.448, 0.664754886, 5.397293643, 293.2089946, -6.46, -1.005428195, -11.72833496, 293.1915477, 70, 0.008777685, 46.45295267, 293.1528233
8.784, -1.154316901, 8.146107726, 294.1504692, -4.996, -0.620032415, -5.373462571, 293.4639731, 3.692, 0.613053909, 5.64092894, 293.2062174, -6.216, -1.173158084, -11.60396982, 293.1907304, 72, 0.019796824, 47.49401726, 293.1528507
9.028, -0.883800037, 8.771159061, 294.1694053, -4.752, -0.647061875, -5.148539198, 293.460773, 3.936, 0.547109619, 5.884564237, 293.2043889, -5.972, -1.318627539, -11.35523955, 293.1911265, 74, 0.033430675, 48.43097538, 293.1528788
9.272, -0.600451989, 9.279402277, 294.1350338, -4.508, -0.679870728, -4.698692451, 293.4566762, 4.18, 0.468452612, 6.128199534, 293.2041217, -5.728, -1.43812989, -11.10650927, 293.1943689, 76, 0.047811585, 50.30489163, 293.1529448
9.516, -0.311952281, 9.58222384, 294.0960211, -4.264, -0.716667646, -4.248845704, 293.4566006, 4.424, 0.378584641, 6.615470128, 293.2116185, -5.484, -1.528635379, -10.88265202, 293.2000035, 78, 0.063126321, 52.17880789, 293.1530109
