#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
22.204, -0.605502576, 24.03497579, 295.2049621, 8.424, 8.448615703, 6.094577392, 293.552913, 17.112, 14.19265389, 27.72239388, 494.580072, 7.204, -0.91407495, -0.827246846, 293.5501376, 182, 0.147544134, 70.19258248, 293.1529481
22.448, -0.410258211, 24.22343249, 295.1933934, 8.668, 9.691888337, 6.185324151, 293.5535634, 17.356, 15.07464699, 29.24761274, 490.7977472, 7.448, -0.633290392, -0.738337784, 293.5467941, 184, 0.169582413, 70.39826859, 293.1529472
22.692, -0.216844048, 24.6003459, 295.1789106, 8.912, 10.99398696, 6.262204125, 293.5553341, 17.6, 15.93599289, 30.44831391, 480.7049229, 7.692, -0.349834771, -0.662844214, 293.5440919, 186, 0.191247161, 70.8096408, 293.152946
22.936, -0.026829329, 24.9772593, 295.1762266, 9.156, 12.34530151, 6.3390841, 293.5586306, 17.844, 16.77315798, 30.96126266, 476.3034, 7.936, -0.065680233, -0.577934394, 293.5412171, 188, 0.234203128, 71.63238523, 293.1529462
23.18, 0.15800917, 25.3541727, 295.1819842, 9.4, 13.73502715, 6.415964074, 293.5636697, 18.088, 17.58307308, 31.47421142, 472.0374909, 8.18, 0.217884082, -0.493024573, 293.538458, 190, 0.282014988, 72.20461567, 293.1529484
23.424, 0.335572813, 25.73108611, 295.1908115, 9.644, 15.15137546, 6.510892379, 293.5734968, 18.332, 18.36318149, 31.93586529, 468.4335045, 8.424, 0.500316735, -0.41662542, 293.5360531, 192, 0.331881262, 72.7768461, 293.1529531
23.668, 0.50348077, 26.10799951, 295.1971528, 9.888, 16.5816473, 6.605820684, 293.5877279, 18.576, 19.11142143, 32.33848824, 465.5274573, 8.668, 0.781842033, -0.335406452, 293.5335691, 194, 0.381560772, 73.2918535, 293.1529589
23.912, 0.659146794, 26.48491291, 295.1961177, 10.132, 18.01248446, 6.700748989, 293.6071513, 18.82, 19.82621677, 32.70084889, 463.1280781, 8.912, 1.063432623, -0.254187485, 293.531123, 196, 0.430306456, 74.32186828, 293.1529811
24.156, 0.799719543, 26.86182632, 295.1855671, 10.376, 19.43003509, 6.807144988, 293.6371049, 19.064, 20.50647479, 33.06320954, 460.9565665, 9.156, 1.346849224, -0.183539089, 293.5290164, 198, 0.50631984, 75.35188307, 293.1530154
24.4, 0.922212722, 27.23873972, 295.167038, 10.62, 20.82016943, 6.902901386, 293.6719563, 19.308, 21.15155807, 33.38933413, 459.1890902, 9.4, 1.634556664, -0.104314636, 293.5266735, 200, 0.587749412, 76.38189786, 293.1530629
24.644, 1.023508505, 27.4422061, 295.1549902, 10.864, 22.1687032, 7.094414183, 293.7811662, 19.552, 21.76121002, 33.71545871, 457.6047324, 9.644, 1.929670342, -0.025090184, 293.5243284, 202, 0.668805454, 78.44192743, 293.1532014
24.888, 1.100500539, 27.64567248, 295.1434671, 11.108, 23.4616651, 7.247124649, 293.9011448, 19.796, 22.33549491, 34.0415833, 456.1978962, 9.888, 2.235839775, 0.031906795, 293.5226402, 204, 0.744445308, 80.501957, 293.1534181
25.132, 1.150157242, 27.82166677, 295.1352227, 11.352, 24.68544893, 7.399835114, 294.0615113, 20.04, 22.87477151, 34.69383247, 453.7762401, 10.132, 2.557186066, 0.145900754, 293.5192629, 206, 0.812801325, 82.63625523, 293.1537641
25.376, 1.169690918, 27.99766106, 295.1299954, 11.596, 25.82709783, 7.55254558, 294.2712013, 20.284, 23.37961066, 35.28085673, 452.0956012, 10.376, 2.898120663, 0.194390414, 293.5178261, 208, 0.907304452, 84.77055345, 293.1542942
25.62, 1.156605132, 28.31445078, 295.141993, 11.84, 26.87452968, 7.857966511, 294.8448028, 20.528, 23.85071167, 35.86788098, 450.8403537, 10.62, 3.263202535, 0.238031109, 293.5165347, 210, 1.005356115, 86.90485168, 293.155089
25.864, 1.108912103, 28.6312405, 295.1790158, 12.084, 27.8166963, 8.163387443, 295.7111979, 20.772, 24.2887944, 36.45490524, 449.9348955, 10.864, 3.657005734, 0.325312497, 293.5139754, 212, 1.103594544, 89.81129033, 293.1567863
26.108, 1.025177408, 28.94803022, 295.2450188, 12.328, 28.64378124, 8.774229305, 298.8972295, 21.016, 24.69463679, 37.1259089, 449.3403011, 11.108, 4.083922681, 0.368953191, 293.5127059, 214, 1.198657966, 92.71772898, 293.1592948
26.352, 0.904700821, 29.23314097, 295.3284313, 12.572, 29.34741746, 9.385071168, 304.6815712, 21.26, 25.06885608, 37.79691255, 448.8990736, 11.352, 4.548037321, 0.374408278, 293.5125475, 216, 1.290919912, 95.62416763, 293.1628779
26.596, 0.747662797, 29.4864735, 295.4191444, 12.816, 29.92078128, 9.99591303, 313.8503584, 21.504, 25.41196263, 38.40081585, 448.5636412, 11.596, 5.052915995, 0.380888059, 293.5123595, 218, 1.416052511, 97.76381008, 293.165626
26.84, 0.555148607, 29.70798662, 295.5076571, 13.06, 30.3587073, 10.60675489, 326.9307121, 21.748, 25.72426402, 39.00471914, 448.2443732, 11.84, 5.60148397, 0.386719862, 293.5121906, 220, 1.551270424, 99.48352477, 293.1677749
27.084, 0.329342141, 29.90734843, 295.5911197, 13.304, 30.65781728, 11.15957774, 343.6053906, 21.992, 26.00580214, 39.60862243, 447.9133511, 12.084, 6.195886831, 0.398383469, 293.5118536, 222, 1.690783933, 101.2032395, 293.169762
27.328, 0.073486002, 30.08677406, 295.6662831, 13.548, 30.81649956, 11.71240059, 362.7499956, 22.236, 26.25632598, 40.21252572, 447.5663807, 12.328, 6.837334625, 0.421710682, 293.511184, 224, 1.828056262, 102.5686819, 293.1712273
27.572, -0.207942079, 30.26619969, 295.7384639, 13.792, 30.83504, 12.26522343, 383.4586002, 22.48, 26.47529434, 40.81642902, 447.19638, 12.572, 7.526037757, 0.468365107, 293.5098668, 226, 1.960285934, 103.9341244, 293.1725671
27.816, -0.509300767, 30.44562532, 295.8034462, 14.036, 30.71549181, 12.81804628, 404.508853, 22.724, 26.66181534, 41.42033231, 446.8042385, 12.816, 8.261095075, 0.561673958, 293.5073619, 228, 2.11847595, 105.2995669, 293.1737598
28.06, -0.823750569, 30.62505095, 295.8615186, 14.28, 30.46174089, 13.37086913, 425.0991683, 22.968, 26.81473354, 42.62813889, 445.95605, 13.06, 9.040455453, 0.616007087, 293.5059624, 230, 2.286751281, 106.6650093, 293.1748017
28.304, -1.143333061, 30.80447658, 295.9086366, 14.524, 30.07931205, 13.92369198, 444.1340689, 23.212, 26.93253015, 43.83594548, 445.1091934, 13.304, 9.860911188, 0.656612377, 293.5049592, 232, 2.461750152, 108.0304518, 293.1756909
28.548, -1.458993744, 31.16332784, 295.9548214, 14.768, 29.57536982, 15.02933767, 472.8724603, 23.456, 27.01350505, 45.04375206, 444.3067065, 13.548, 10.71808602, 0.691031716, 293.5041413, 234, 2.640110809, 110.7613367, 293.1771362
28.792, -1.760748256, 31.47186437, 295.9443419, 15.012, 28.9584957, 16.13498337, 487.6484885, 23.7, 27.05566367, 45.84044203, 443.8040715, 13.792, 11.60647826, 0.759870395, 293.5026607, 236, 2.820899399, 113.4922216, 293.178152
29.036, -2.037796224, 31.7804009, 295.9001724, 15.256, 28.23860104, 17.13006449, 489.6215014, 23.944, 27.0569, 46.637132, 443.3400032, 14.036, 12.51954687, 0.897547752, 293.5005833, 238, 3.027648323, 116.2231066, 293.1785819
29.28, -2.278682386, 31.8591197, 295.8847524, 15.5, 27.42667465, 18.0256375, 484.6283772, 24.188, 27.01502541, 47.3086507, 442.9843783, 14.28, 13.44982299, 1.035225109, 293.4997164, 240, 3.251579658, 118.9539915, 293.1786871
29.524, -2.471509082, 31.93783849, 295.8694136, 15.744, 26.53459584, 18.55464438, 479.1530037, 24.432, 26.92778536, 47.8705054, 442.7126874, 14.524, 14.38900152, 1.155813903, 293.5001488, 242, 3.48765071, 121.6848764, 293.1786115
29.768, -2.604212395, 31.98496686, 295.8608406, 15.988, 25.57497377, 19.08365126, 473.414739, 24.676, 26.79304249, 48.4323601, 442.4642766, 14.768, 15.32813788, 1.276402696, 293.5020527, 244, 3.728577654, 123.2335243, 293.1785516
30.012, -2.664716376, 32.03209524, 295.8531134, 16.232, 24.5608093, 19.55975746, 468.3367005, 24.92, 26.60877548, 48.9942148, 442.2396266, 15.012, 16.257825, 1.39699149, 293.505656, 246, 3.968384008, 124.7821721, 293.1784872
30.256, -2.641273947, 32.07451077, 295.8470071, 16.476, 23.50538781, 19.98825303, 463.9936623, 25.164, 26.37321165, 49.55606951, 442.0412282, 15.256, 17.16834162, 1.638169077, 293.5218356, 248, 4.213793314, 126.1759551, 293.1784316
30.5, -2.522723906, 32.15934184, 295.8394401, 16.72, 22.42192154, 20.37389905, 460.3446828, 25.408, 26.08491936, 50.11792421, 441.8737121, 15.5, 18.04995452, 1.879346664, 293.5491778, 250, 4.466673223, 127.5697382, 293.178389
30.744, -2.298740356, 32.24106483, 295.8383978, 16.964, 21.32340164, 20.75954506, 457.0007967, 25.652, 25.74284619, 50.67977891, 441.7421512, 15.744, 18.89302573, 2.120524251, 293.5891449, 252, 4.721794312, 128.6465365, 293.1783658
30.988, -1.960153318, 32.32278783, 295.8453666, 17.208, 20.22236999, 21.14519108, 453.9772848, 25.896, 25.34644875, 51.24163361, 441.649349, 15.988, 19.68831664, 2.602879425, 293.7301227, 254, 4.971872733, 129.7233349, 293.1783512
31.232, -1.49919454, 32.40451082, 295.8616547, 17.452, 19.13070328, 21.53083709, 451.1815172, 26.14, 24.89570644, 51.80348831, 441.6077378, 16.232, 20.42716425, 3.036999081, 293.9066165, 256, 5.211492334, 130.8001332, 293.1783502
31.476, -0.909690551, 32.56795681, 295.9486308, 17.696, 18.05941189, 22.30212913, 446.4757948, 26.384, 24.39119492, 52.25391067, 441.5889435, 16.476, 21.10170652, 3.39063104, 294.078335, 258, 5.43299571, 131.7316577, 293.1783558
31.72, -0.187430384, 32.68709216, 296.048596, 17.94, 17.01847652, 22.99629196, 443.1397076, 26.628, 23.83417393, 52.64201401, 441.576467, 16.72, 21.70503755, 3.692664693, 294.2395248, 260, 5.65393878, 133.5947066, 293.1784027
31.964, 0.669843727, 32.8062275, 296.1943056, 18.184, 16.01672297, 23.69045478, 440.479179, 26.872, 23.22654891, 52.98580033, 441.5634995, 16.964, 22.23145388, 3.96449498, 294.3908362, 262, 5.869839204, 134.9722593, 293.1784629
32.208, 1.662076192, 32.92536285, 296.3932081, 18.428, 15.0617202, 24.38461761, 438.4497556, 27.116, 22.570913, 53.32958665, 441.5432885, 17.208, 22.6765047, 4.236325268, 294.5424548, 264, 6.074907254, 136.349812, 293.1785442
32.452, 2.786905767, 33.16363355, 297.0639703, 18.672, 14.15965209, 25.07878044, 436.6457016, 27.36, 21.87056554, 53.63899434, 441.5160731, 17.452, 23.03719588, 4.508155555, 294.6880387, 266, 6.263353225, 137.7273648, 293.1786564
32.696, 4.039553576, 33.35542545, 297.8360214, 18.916, 13.31530492, 25.77294327, 435.0121825, 27.604, 21.12942306, 53.94840202, 441.4771868, 17.696, 23.31203425, 5.05181613, 294.9427573, 268, 6.417247645, 139.1049175, 293.1787896
32.94, 5.412807227, 33.54721735, 298.8852416, 19.16, 12.53203924, 26.4671061, 433.5457769, 27.848, 20.35209523, 54.25780971, 441.4245414, 17.94, 23.50109313, 5.595476704, 295.1178754, 270, 6.568153824, 141.8600229, 293.1791943
33.184, 6.897040532, 33.73900925, 300.2602616, 19.404, 11.81173671, 26.81818974, 432.8555841, 28.092, 19.54371397, 54.87662508, 441.2841398, 18.184, 23.60601632, 6.139137279, 295.1935859, 272, 6.714764394, 144.6151284, 293.1797433
33.428, 8.480319311, 34.12259305, 303.9764417, 19.648, 11.15498304, 27.16927338, 432.2165518, 28.336, 18.70994286, 55.43355891, 441.1134368, 18.428, 23.62999, 6.682797854, 295.1723322, 274, 6.853530855, 147.3702338, 293.1805066
33.672, 10.14844654, 34.50617685, 309.4190397, 19.892, 10.56097399, 27.48524865, 431.6844859, 28.58, 17.85686377, 55.99049275, 440.9073249, 18.672, 23.57770374, 7.226458429, 295.077658, 276, 6.980531105, 149.7262987, 293.1813438
33.916, 11.88532372, 34.88976065, 316.9287081, 20.136, 10.0277147, 27.7696264, 431.240939, 28.824, 16.99091158, 56.32173549, 440.7683399, 18.916, 23.45523433, 7.715752946, 294.9588856, 278, 7.073166581, 152.0823635, 293.1823094
34.16, 13.67294605, 35.65692826, 342.487769, 20.38, 9.552090068, 28.02556638, 430.8709801, 29.068, 16.11874834, 56.65297823, 440.6259217, 19.16, 23.2699213, 8.156118011, 294.8507583, 280, 7.169163829, 154.2028219, 293.1831998
34.404, 15.49184937, 36.27781527, 367.6328871, 20.624, 9.130047825, 28.25591235, 430.561698, 29.312, 15.24714337, 56.9510967, 440.4970258, 19.404, 23.0301872, 8.596483077, 294.7759826, 282, 7.268149318, 156.0188954, 293.1839201
34.648, 17.32139772, 36.77290564, 389.4241966, 20.868, 8.756696369, 28.48625833, 430.2758164, 29.556, 14.38287554, 57.19171869, 440.3934017, 19.648, 22.74533745, 9.036848142, 294.7460383, 284, 7.366200969, 157.6533615, 293.1845521
34.892, 19.14002869, 37.2094852, 409.0436137, 21.112, 8.426535919, 28.7166043, 430.0131294, 29.8, 13.53267466, 57.40827848, 440.3009837, 19.892, 22.42537128, 9.488986798, 294.7875509, 286, 7.458649692, 159.0954257, 293.1850571
35.136, 20.92576139, 37.60240681, 426.3304422, 21.356, 8.133597725, 29.17729625, 429.5436161, 30.044, 12.70295106, 57.60318229, 440.2187769, 20.136, 22.08070087, 9.941125454, 294.9166077, 288, 7.519348329, 160.5374899, 293.1854971
35.38, 22.65649338, 37.99532842, 442.53714, 21.6, 7.87163511, 29.63798821, 429.1619943, 30.288, 11.89987662, 57.77859572, 440.1457914, 20.38, 21.72197198, 10.34805024, 295.1242707, 290, 7.585463165, 161.9795541, 293.1858536
35.624, 24.31040495, 38.34895787, 455.7941623, 21.844, 7.634311076, 30.09868016, 428.8729737, 30.532, 11.12913908, 57.93646781, 440.0810178, 20.624, 21.35969894, 10.71428255, 295.4072827, 292, 7.656060362, 163.4216183, 293.186128
35.868, 25.86644115, 38.70258732, 467.3481304, 22.088, 7.4153511, 30.55937211, 428.6775623, 30.776, 10.39588476, 58.0943399, 440.0172285, 20.868, 21.00410484, 11.04389163, 295.7610479, 294, 7.72703109, 164.8636825, 293.1862966
36.112, 27.3045815, 39.05621677, 476.9561675, 22.332, 7.208752953, 31.02006406, 428.5734867, 31.02, 9.704680134, 58.25221199, 439.9545346, 21.112, 20.66479607, 11.37350071, 296.240124, 296, 7.793332703, 166.3057467, 293.1863776
36.356, 28.60632776, 39.76347567, 490.9680016, 22.576, 7.008908709, 31.51765004, 428.5961399, 31.264, 9.059366389, 58.41008408, 439.8926181, 21.356, 20.35056413, 11.70310979, 296.8801141, 298, 7.83012541, 167.4468077, 293.1864024
36.6, 29.75499557, 40.47073457, 496.9753339, 22.82, 6.810776429, 32.01523601, 428.6865122, 31.508, 8.463037901, 58.56795617, 439.8317638, 21.6, 20.06915577, 12.03271887, 297.6568902, 300, 7.869532853, 168.4550503, 293.1864205
36.844, 30.73604148, 41.17799346, 495.7602497, 23.064, 6.609933624, 32.46306339, 428.8011177, 31.752, 7.918005619, 58.88370034, 439.714061, 21.844, 19.82704469, 12.69193703, 300.0213855, 302, 7.910621169, 170.4715356, 293.1864305
37.088, 31.53736062, 41.88525236, 489.2720229, 23.308, 6.402764826, 32.86508071, 428.9125578, 31.996, 7.425761029, 59.19944452, 439.6022677, 22.088, 19.62933685, 13.35115519, 303.8222916, 304, 7.950215364, 172.4880209, 293.1864192
37.332, 32.14952504, 42.33292829, 482.805815, 23.552, 6.186472888, 33.2268963, 429.0052453, 32.24, 6.986971039, 59.5151887, 439.4971575, 22.332, 19.47951007, 14.01037335, 309.6491572, 306, 7.984580138, 174.5045062, 293.1863924
37.576, 32.56593768, 42.78060422, 476.0775852, 23.796, 5.959108696, 33.58871189, 429.0782626, 32.484, 6.601513427, 59.83093287, 439.3995477, 22.576, 19.37945461, 14.66959151, 317.998528, 308, 7.994665451, 175.9223138, 293.186371
37.82, 32.78295745, 43.1697505, 470.3154755, 24.04, 5.719690919, 33.95052747, 429.1211598, 32.728, 6.268438487, 60.14667705, 439.3102073, 22.82, 19.32932346, 15.32880967, 329.1367875, 310, 8.005311049, 176.9068945, 293.1863857
38.064, 32.8, 43.50123213, 465.6104502, 24.284, 5.468087693, 34.67415865, 429.1143512, 32.972, 5.986065388, 60.46242123, 439.229685, 23.064, 19.32756811, 15.9113282, 342.1398115, 312, 8.0163302, 177.7420772, 293.186429
38.308, 32.61950124, 43.78432629, 461.8022616, 24.528, 5.205057348, 35.39778982, 428.9617882, 33.216, 5.752035561, 61.09390958, 439.1096289, 23.308, 19.37093155, 16.49384672, 356.5839697, 314, 8.026041984, 178.5772599, 293.186515
38.552, 32.24692436, 44.03911104, 458.5729222, 24.772, 4.932180586, 36.04905788, 428.7150055, 33.46, 5.563367346, 61.59551288, 439.0300007, 23.552, 19.45454697, 17.07636524, 371.7350163, 316, 8.032391996, 179.4124426, 293.1866334
38.796, 31.69055157, 44.29389578, 455.5617511, 25.016, 4.65176718, 36.4307907, 428.5230024, 33.704, 5.416556733, 61.97870711, 438.9741207, 23.796, 19.5720367, 17.65888377, 386.835635, 318, 8.023427273, 180.2476253, 293.1867906
39.04, 30.96138494, 44.54868053, 452.7781812, 25.26, 4.366801966, 36.81252353, 428.3216913, 33.948, 5.307627941, 62.32100125, 438.9245197, 24.04, 19.71568678, 18.82392081, 413.8759083, 320, 8.014836079, 181.082808, 293.1869863
39.284, 30.07287042, 45.05825001, 447.7648643, 25.504, 4.080781791, 37.15608307, 428.1390964, 34.192, 5.23226625, 62.62906598, 438.8775223, 24.284, 19.87664262, 19.98895786, 433.879604, 322, 8.006431639, 182.7531734, 293.1874997
39.528, 29.04065957, 45.5678195, 443.6042262, 25.748, 3.797596166, 37.46528666, 427.977276, 34.436, 5.185936281, 62.93713071, 438.8258532, 24.528, 20.04505073, 21.1539949, 446.4489195, 324, 7.996906632, 186.0939041, 293.1892146
39.772, 27.88228339, 46.07738899, 440.2694698, 25.992, 3.521460656, 37.74356989, 427.8361128, 34.68, 5.163922451, 63.24519543, 438.7675637, 24.772, 20.21045023, 22.17662774, 451.8876339, 326, 7.984580138, 187.024829, 293.1898534
40.016, 26.61675196, 46.58695848, 437.6665372, 26.236, 3.256700313, 37.9940248, 427.7140654, 34.924, 5.16147036, 63.86132489, 438.6307551, 25.016, 20.36189842, 22.75494311, 454.8184383, 328, 7.963662449, 187.8626614, 293.1905319
40.26, 25.26422219, 47.09652797, 435.6700436, 26.48, 3.007641852, 38.24447971, 427.5981235, 35.168, 5.173907929, 64.47745434, 438.4621238, 25.26, 20.48835528, 23.33325848, 458.0691056, 330, 7.943491821, 189.5383263, 293.1925434
40.504, 23.84561228, 47.51233416, 434.524316, 26.724, 2.778418457, 38.49493461, 427.489218, 35.412, 5.19667734, 65.03197085, 438.2858838, 25.504, 20.57888068, 23.91157385, 461.9389198, 332, 7.924441784, 191.0464246, 293.1948873
40.748, 22.38213137, 47.92814035, 433.5628577, 26.968, 2.572977078, 38.99584443, 427.2910164, 35.656, 5.225488269, 65.33085757, 438.1810985, 25.748, 20.62304124, 25.06820459, 471.3698457, 334, 7.906138807, 192.554523, 293.1978122
40.992, 20.89488847, 48.34394654, 432.7243846, 27.212, 2.39475253, 39.49675424, 427.1268657, 35.9, 5.256315791, 65.62974428, 438.0740608, 25.992, 20.61107333, 26.22483533, 482.38402, 336, 7.88895642, 195.5707196, 293.2060256
41.236, 19.40455725, 49.17555892, 431.1974363, 27.456, 2.246733033, 39.99766406, 427.0006871, 36.144, 5.285545596, 65.928631, 437.9663104, 26.236, 20.53423553, 26.71167581, 486.6046408, 338, 7.872147564, 197.078818, 293.2114109
41.48, 17.93087685, 49.64165621, 430.4085112, 27.7, 2.131246516, 40.49857387, 426.9124996, 36.388, 5.309937117, 66.22751772, 437.8589286, 26.48, 20.3849817, 27.19851629, 490.0233688, 340, 7.859074008, 198.4361065, 293.2174983
41.724, 16.49238572, 50.04960287, 429.7254821, 27.944, 2.04995849, 40.96180693, 426.8732386, 36.632, 5.326769801, 66.52640444, 437.7529423, 26.724, 20.15728845, 27.68535677, 492.3353821, 342, 7.849735755, 199.793395, 293.2249558
41.968, 15.10606874, 50.45754952, 429.0538165, 28.188, 2.003749629, 41.42503999, 426.8511235, 36.876, 5.333726967, 67.12417787, 437.551334, 26.968, 19.8466981, 28.65903772, 493.706295, 344, 7.843946026, 201.1506835, 293.2338195
42.212, 13.78706349, 50.84537943, 428.4358097, 28.432, 1.992705027, 41.84194975, 426.83718, 37.12, 5.329045264, 67.7219513, 437.3716072, 27.212, 19.4505529, 29.63271868, 490.3392346, 346, 7.841144561, 203.8652605, 293.2568921
42.456, 12.54845152, 51.23320934, 427.8479899, 28.676, 2.016162582, 42.21716853, 426.8227691, 37.364, 5.311448918, 68.31972474, 437.2263113, 27.456, 18.96811942, 30.41768759, 484.076052, 348, 7.843946026, 206.5798376, 293.2856724
42.7, 11.40104254, 51.44833964, 427.5337561, 28.92, 2.072583961, 42.59238731, 426.8010828, 37.608, 5.280082362, 68.85772083, 437.1359873, 27.7, 18.40056804, 30.81401315, 480.7319829, 350, 7.850669568, 209.2944146, 293.3243589
42.944, 10.35320866, 51.66346995, 427.2327849, 29.164, 2.159703232, 42.96760609, 426.7671925, 37.852, 5.234617894, 69.39571692, 437.0925424, 27.944, 17.75104646, 31.2103387, 477.393727, 352, 7.860754882, 211.266887, 293.3582814
43.188, 9.41094836, 51.87860026, 426.9461454, 29.408, 2.274550708, 43.71804365, 426.6614012, 38.096, 5.175064411, 69.79108325, 437.1037718, 28.188, 17.02461046, 31.54095158, 474.7008392, 354, 7.873641684, 215.2118317, 293.4460791
43.432, 8.577670568, 52.30886088, 426.4096091, 29.652, 2.413504245, 44.39343745, 426.5164255, 38.34, 5.101845327, 70.18644957, 437.1363495, 28.432, 16.22817326, 31.81381284, 472.5782624, 356, 7.88895642, 217.7030094, 293.5169766
43.676, 7.854428126, 52.7391215, 425.9324171, 29.896, 2.572361339, 45.06883126, 426.3327371, 38.584, 5.0156531, 70.54227927, 437.1773808, 28.676, 15.37032572, 32.04775237, 470.8512684, 358, 7.908940271, 220.194187, 293.6069845
43.92, 7.239860288, 53.16938211, 425.5177375, 30.14, 2.74651292, 45.67668568, 426.1494864, 38.828, 4.917466023, 70.89810896, 437.2217445, 28.92, 14.46121048, 32.25311797, 469.4157264, 360, 7.929671206, 222.6853647, 293.7164709
44.164, 6.730424608, 53.63702844, 425.1393272, 30.384, 2.931015874, 46.2845401, 425.9675168, 39.072, 4.808454855, 71.21346223, 437.2574486, 29.164, 13.51228237, 32.437947, 468.1929538, 362, 7.950028587, 227.66772, 294.0207347
44.408, 6.320538569, 54.10467476, 424.8371311, 30.628, 3.120672337, 46.89239452, 425.8033591, 39.316, 4.689937969, 71.52881549, 437.2833131, 29.408, 12.53606794, 32.62277604, 467.0413022, 364, 7.968518341, 230.8085815, 294.2690887
44.652, 6.00286186, 54.57232108, 424.6131386, 30.872, 3.310311839, 47.50024895, 425.6725309, 39.56, 4.563277461, 71.84416875, 437.292852, 29.652, 11.54590139, 32.80760507, 465.9619193, 366, 7.984580138, 233.949443, 294.5783871
44.896, 5.768477304, 55.0399674, 424.4684151, 31.116, 3.49469609, 48.10810337, 425.5845215, 39.804, 4.429870416, 72.47487527, 437.2571858, 29.896, 10.55561592, 33.17726314, 463.9780011, 368, 7.999708096, 237.0903045, 294.9573749
45.14, 5.607288423, 55.50761373, 424.4297479, 31.36, 3.668889367, 48.71595779, 425.5402681, 40.048, 4.29110899, 73.1055818, 437.127584, 30.14, 9.579233359, 33.54692121, 462.2692885, 370, 8.011661061, 243.3720276, 295.972136
45.384, 5.508227509, 55.97526005, 424.4499009, 31.604, 3.828208643, 49.32381222, 425.5400506, 40.292, 4.148252272, 73.73628832, 436.9068508, 30.384, 8.630639848, 33.91657928, 460.8451277, 372, 8.020812562, 248.7587065, 297.1955021
45.628, 5.45967242, 56.34798081, 424.488952, 31.848, 3.968422891, 49.76685844, 425.538506, 40.536, 4.002546998, 74.3039242, 436.6505269, 30.628, 7.723309847, 34.30672103, 459.6504791, 374, 8.027349327, 254.1453854, 298.8152365
45.872, 5.449714114, 56.68317317, 424.5317803, 32.092, 4.085851418, 50.12318527, 425.5280573, 40.78, 3.854978737, 74.58694997, 436.5056802, 30.872, 6.869897741, 34.69686279, 458.7698831, 376, 8.032391996, 259.8069368, 301.1426289
46.116, 5.466460816, 56.98068847, 424.5675477, 32.336, 4.177419564, 50.44387941, 425.5048389, 41.024, 3.706458062, 74.86997574, 436.3602132, 31.116, 6.082067533, 35.08700455, 458.1979665, 378, 8.038181702, 265.4684881, 303.8912967
46.36, 5.498392922, 57.27820377, 424.5934561, 32.58, 4.240779148, 50.73250414, 425.4688971, 41.268, 3.55769097, 75.094879, 436.2456912, 31.36, 5.370140188, 35.47714631, 457.9232499, 380, 8.045278774, 271.1300395, 306.9234311
46.604, 5.534630664, 57.57571908, 424.6029893, 32.824, 4.274331128, 50.9922664, 425.422415, 41.512, 3.409216666, 75.25914239, 436.1631055, 31.604, 4.742858059, 35.86360243, 458.0350337, 382, 8.054243498, 275.8696989, 309.6457791
46.848, 5.565178382, 58.17074968, 424.5655292, 33.068, 4.27725424, 51.25202865, 425.3604297, 41.756, 3.261439575, 75.39312186, 436.0966363, 31.848, 4.207235381, 36.25005856, 458.3460648, 384, 8.065822932, 280.6093583, 312.4622904
47.092, 5.581183274, 58.76578029, 424.4328399, 33.312, 4.249548036, 51.51179091, 425.2826484, 42, 3.114547079, 75.45997531, 436.0637201, 32.092, 3.768314078, 36.63651468, 458.7897002, 386, 8.080203855, 285.3490177, 315.3820946
47.336, 5.575077187, 59.30130783, 424.234749, 33.556, 4.191965384, 52.03131543, 425.0932653, 42.244, 2.968675491, 75.52682876, 436.0310713, 32.336, 3.429129797, 37.02297081, 459.28008, 388, 8.097199465, 294.8283364, 321.5636166
47.58, 5.540725957, 59.83683538, 423.9817173, 33.8, 4.106087654, 52.55083994, 424.8619042, 42.488, 2.823821066, 75.58373851, 436.0034751, 32.58, 3.190561494, 37.79588306, 460.1448897, 390, 8.116809809, 302.7563232, 326.7854749
47.824, 5.473600965, 60.1136277, 423.8323484, 34.044, 3.994159319, 53.018412, 424.6344175, 42.732, 2.67991929, 75.65168348, 435.9708193, 32.824, 3.051392052, 38.56879531, 460.5360376, 392, 8.137353967, 310.6843099, 331.9309458
48.068, 5.370755527, 60.39042003, 423.681307, 34.288, 3.859080799, 53.18171912, 424.5529725, 42.976, 2.536885601, 75.68565597, 435.9545754, 33.068, 3.008276123, 39.34170756, 460.2350138, 394, 8.157524595, 318.6122967, 336.9250485
