time, step, mean-KE, KE, mean-PE, PE, mean-TE, TE, -lambda, +lambda, mean-lambda, mean-x_flux, mean-y_flux, mean-z_flux, current, resistance
7.0000000000e-02, 700, 1.1711727916e-14, 1.1730081327e-14, -9.1759522990e-15, -9.0213514286e-15, 1.0399506725e-17, -2.9841616409e-17, 2.5357756171e-15, 2.7087298989e-15, 2.5461751239e-15, 2.6788882825e-15, -1.1180339887e-02, 1.1180339887e-02, 1.1732218798e-03, 5.0000000000e+03, 0, 0, 0, 0.0000000000e+00, inf
7.5000000000e-02, 750, 1.1701194572e-14, 1.1672255567e-14, -8.8612207678e-15, -8.6968636755e-15, 1.3368063971e-17, 2.6007626243e-17, 2.8399738045e-15, 2.9753918915e-15, 2.8533418685e-15, 3.0013995177e-15, -1.1180339887e-02, 1.1180339887e-02, 1.1836180962e-03, 1.0000000000e+04, 0, 0, 0, 0.0000000000e+00, inf
8.0000000000e-02, 800, 1.1713117450e-14, 1.1711070015e-14, -8.5032292477e-15, -8.2946518170e-15, 1.3579330157e-17, -1.9707090120e-18, 3.2098882022e-15, 3.4164181977e-15, 3.2234675324e-15, 3.4144474886e-15, -1.1180339887e-02, 1.1180339887e-02, 1.2196996543e-03, 5.1600000000e+04, 0, 0, 0, 0.0000000000e+00, inf
8.5000000000e-02, 850, 1.1715714934e-14, 1.1665938339e-14, -8.0830700337e-15, -7.8659715398e-15, 1.6641996936e-17, 5.9806673754e-17, 3.6326449000e-15, 3.7999667992e-15, 3.6492868970e-15, 3.8597734729e-15, -1.1180339887e-02, 1.1180339887e-02, 1.2848461230e-03, 1.0380000000e+05, 0, 0, 0, -6.4087065360e-17, -6.2415090745e+16
9.0000000000e-02, 900, 1.1717029035e-14, 1.1726773081e-14, -7.6340741531e-15, -7.3912145591e-15, 1.5919216230e-17, 3.1879718019e-19, 4.0829548819e-15, 4.3355585222e-15, 4.0988740982e-15, 4.3358773194e-15, -1.1180339887e-02, 1.1180339887e-02, 1.3636337468e-03, 1.9660000000e+05, 0, 0, 0, 3.2043532680e-17, 1.2483018149e+17
9.5000000000e-02, 950, 1.1721639128e-14, 1.1665609030e-14, -7.1367736948e-15, -6.8870627255e-15, 1.9336295194e-17, 7.3099439442e-17, 4.5848654332e-15, 4.7785463042e-15, 4.6042017284e-15, 4.8516457436e-15, -1.1180339887e-02, 1.1180339887e-02, 1.4565635839e-03, 4.0300000000e+05, 0, 0, 0, 3.2043532680e-17, 1.2483018149e+17
1.0000000000e-01, 1000, 1.1720498317e-14, 1.1677442266e-14, -6.6237383790e-15, -6.3505084470e-15, 1.8305224075e-17, 8.8530173537e-17, 5.0967599383e-15, 5.3269338187e-15, 5.1150651624e-15, 5.4154639922e-15, -1.1180339887e-02, 1.1180339887e-02, 1.5603134033e-03, 6.2420000000e+05, 0, 0, 0, -6.4087065360e-17, -6.2415090745e+16
1.0500000000e-01, 1050, 1.1714037745e-14, 1.1724515018e-14, -6.0734008500e-15, -5.7930099892e-15, 1.8139191075e-17, -3.7402472349e-17, 5.6406368948e-15, 5.9315050292e-15, 5.6587760859e-15, 5.8941025568e-15, -1.1180339887e-02, 1.1180339887e-02, 1.6780180925e-03, 8.3940000000e+05, 0, 0, 0, 0.0000000000e+00, inf
1.1000000000e-01, 1100, 1.1719769161e-14, 1.1656442144e-14, -5.5150488063e-15, -5.2430078513e-15, 1.8733526594e-17, 8.5713035926e-17, 6.2047203547e-15, 6.4134342929e-15, 6.2234538813e-15, 6.4991473288e-15, -1.1180339887e-02, 1.1180339887e-02, 1.7951068293e-03, 1.0696000000e+06, 0, 0, 0, 3.2043532680e-17, 1.2483018149e+17
1.1500000000e-01, 1150, 1.1715398262e-14, 1.1739444845e-14, -5.0112095823e-15, -4.7673039843e-15, 1.2262233701e-17, 1.4974103129e-17, 6.7041886796e-15, 6.9721408603e-15, 6.7164509133e-15, 6.9871149635e-15, -1.1180339887e-02, 1.1180339887e-02, 1.8903317086e-03, 1.3420000000e+06, 0, 0, 0, 0.0000000000e+00, inf
1.2000000000e-01, 1200, 1.1709121883e-14, 1.1728535973e-14, -4.5456473582e-15, -4.3504256452e-15, 1.0906973863e-17, 1.9332952834e-17, 7.1634745246e-15, 7.3781103275e-15, 7.1743814985e-15, 7.3974432803e-15, -1.1180339887e-02, 1.1180339887e-02, 1.9699416252e-03, 1.5746000000e+06, 0, 0, 0, 3.2043532680e-17, 1.2483018149e+17
1.2500000000e-01, 1250, 1.1701941247e-14, 1.1667552435e-14, -4.2009146592e-15, -4.0646248751e-15, 7.3144421032e-18, 5.8250809724e-17, 7.5010265880e-15, 7.6029275603e-15, 7.5083410301e-15, 7.6611783700e-15, -1.1180339887e-02, 1.1180339887e-02, 2.0454452450e-03, 1.8136000000e+06, 0, 0, 0, -3.2043532680e-17, -1.2483018149e+17
