time, step, mean-KE, mean-PE, mean-LE, mean-TEE, mean-TE, -lambda, +lambda, mean-lambda, mean-inelastic-collisions, mean-x_flux, mean-y_flux, mean-z_flux, current, resistance
0.0000000000e+00, 0, 6.5303215921e-15, -2.4286782825e-13, 0.0000000000e+00, -2.3633750666e-13, -2.3633750666e-13, -1.1180339887e-02, 1.1180339887e-02, 1.1872641467e-02, 0.0000000000e+00, 0, 1, -1, 0.0000000000e+00, inf
1.0000000000e-03, 10, 6.5355359916e-15, -2.4292462839e-13, 0.0000000000e+00, -2.3638909240e-13, -2.3638909240e-13, -1.1180339887e-02, 1.1180339887e-02, 1.1877826044e-02, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 2.0000000000e-01, 0.0000000000e+00, inf
2.0000000000e-03, 20, 6.5504555739e-15, -2.4293664334e-13, 0.0000000000e+00, -2.3638618777e-13, -2.3638618777e-13, -1.1180339887e-02, 1.1180339887e-02, 1.1860999718e-02, 0.0000000000e+00, -5.0000000000e-02, 0.0000000000e+00, -5.0000000000e-02, -1.6021766340e-16, -2.4966036298e+16
