0.0000	-4.0010	2.6803	0.0636	0.0001	-0.0279
0.0000	-4.0010	2.6960	0.0586	-0.0001	-0.0175
0.0000	-4.0010	2.7117	0.0536	-0.0003	-0.0072
0.0000	-4.0010	2.7271	0.0486	-0.0005	0.0029
0.0000	-4.0010	2.7420	0.0437	-0.0007	0.0127
0.0000	-4.0010	2.7564	0.0389	-0.0008	0.0220
0.0000	-4.0010	2.7701	0.0341	-0.0008	0.0309
0.0000	-4.0010	2.7829	0.0294	-0.0007	0.0391
0.0000	-4.0010	2.7948	0.0249	-0.0006	0.0466
0.0000	-4.0010	2.8055	0.0204	-0.0003	0.0532
0.0000	-4.0010	2.8150	0.0161	0.0000	0.0590
0.0000	-4.0010	2.8235	0.0117	0.0004	0.0639
0.0000	-4.0010	2.8313	0.0072	0.0006	0.0681
0.0000	-4.0010	2.8380	0.0027	0.0007	0.0716
0.0000	-4.0010	2.8434	-0.0018	0.0007	0.0745
0.0000	-4.0010	2.8474	-0.0062	0.0006	0.0767
0.0000	-4.0010	2.8498	-0.0104	0.0005	0.0783
0.0000	-4.0010	2.8502	-0.0143	0.0004	0.0794
0.0000	-4.0010	2.8485	-0.0178	0.0003	0.0799
0.0000	-4.0010	2.8445	-0.0209	0.0001	0.0799
0.0000	-4.0010	2.8379	-0.0234	0.0000	0.0794
0.0000	-4.0010	2.8287	-0.0253	-0.0000	0.0784
0.0000	-4.0010	2.8174	-0.0267	-0.0000	0.0770
0.0000	-4.0010	2.8045	-0.0277	-0.0000	0.0752
0.0000	-4.0010	2.7904	-0.0283	0.0000	0.0732
0.0000	-4.0010	2.7756	-0.0287	0.0001	0.0709
0.0000	-4.0010	2.7607	-0.0289	0.0001	0.0685
0.0000	-4.0010	2.7460	-0.0291	0.0001	0.0660
0.0000	-4.0010	2.7322	-0.0292	0.0001	0.0634
0.0000	-4.0010	2.7197	-0.0295	0.0001	0.0608
0.0000	-4.0010	2.7089	-0.0299	-0.0000	0.0582
0.0000	-4.0010	2.6992	-0.0302	-0.0001	0.0556
0.0000	-4.0010	2.6904	-0.0304	-0.0001	0.0529
0.0000	-4.0010	2.6824	-0.0305	-0.0001	0.0501
0.0000	-4.0010	2.6751	-0.0305	-0.0000	0.0473
0.0000	-4.0010	2.6683	-0.0303	0.0000	0.0445
0.0000	-4.0010	2.6622	-0.0301	0.0001	0.0417
0.0000	-4.0010	2.6565	-0.0297	0.0001	0.0390
0.0000	-4.0010	2.6512	-0.0293	0.0001	0.0365
0.0000	-4.0010	2.6462	-0.0288	0.0000	0.0341
0.0000	-4.0010	2.6416	-0.0283	-0.0000	0.0319
0.0000	-4.0010	2.6378	-0.0277	-0.0001	0.0301
0.0000	-4.0010	2.6346	-0.0272	-0.0002	0.0287
0.0000	-4.0010	2.6317	-0.0265	-0.0002	0.0275
0.0000	-4.0010	2.6290	-0.0258	-0.0002	0.0265
0.0000	-4.0010	2.6260	-0.0250	-0.0002	0.0256
0.0000	-4.0010	2.6226	-0.0240	-0.0002	0.0248
0.0000	-4.0010	2.6184	-0.0228	-0.0002	0.0240
0.0000	-4.0010	2.6133	-0.0214	-0.0001	0.0231
0.0000	-4.0010	2.6068	-0.0197	-0.0000	0.0220
0.0000	-4.0010	2.5988	-0.0177	0.0000	0.0208
0.0000	-4.0010	2.5892	-0.0154	0.0001	0.0193
0.0000	-4.0010	2.5783	-0.0128	0.0002	0.0177
0.0000	-4.0010	2.5664	-0.0097	0.0003	0.0160
0.0000	-4.0010	2.5537	-0.0061	0.0004	0.0143
0.0000	-4.0010	2.5405	-0.0021	0.0004	0.0127
0.0000	-4.0010	2.5271	0.0024	0.0004	0.0113
0.0000	-4.0010	2.5137	0.0075	0.0003	0.0100
0.0000	-4.0010	2.5007	0.0132	0.0002	0.0090
0.0000	-4.0010	2.4883	0.0195	0.0001	0.0084
0.0000	-4.0010	2.4767	0.0266	-0.0001	0.0082
0.0000	-4.0010	2.4665	0.0346	-0.0003	0.0084
0.0000	-4.0010	2.4575	0.0433	-0.0003	0.0089
0.0000	-4.0010	2.4496	0.0525	-0.0003	0.0096
0.0000	-4.0010	2.4426	0.0617	-0.0003	0.0104
0.0000	-4.0010	2.4364	0.0708	-0.0002	0.0113
0.0000	-4.0010	2.4308	0.0793	-0.0002	0.0121
0.0000	-4.0010	2.4257	0.0870	-0.0001	0.0129
0.0000	-4.0010	2.4210	0.0936	-0.0000	0.0135
0.0000	-4.0010	2.4165	0.0987	-0.0000	0.0139
0.0000	-4.0010	2.4121	0.1022	-0.0000	0.0140
0.0000	-4.0010	2.4077	0.1041	0.0000	0.0138
0.0000	-4.0010	2.4035	0.1046	0.0000	0.0133
0.0000	-4.0010	2.3996	0.1040	0.0000	0.0125
0.0000	-4.0010	2.3960	0.1024	0.0001	0.0114
0.0000	-4.0010	2.3930	0.1002	0.0001	0.0101
0.0000	-4.0010	2.3905	0.0974	0.0001	0.0085
0.0000	-4.0010	2.3887	0.0944	0.0001	0.0067
0.0000	-4.0010	2.3878	0.0914	0.0001	0.0047
0.0000	-4.0010	2.3877	0.0885	0.0001	0.0023
0.0000	-4.0010	2.3887	0.0860	0.0000	-0.0002
0.0000	-4.0010	2.3908	0.0839	-0.0000	-0.0029
0.0000	-4.0010	2.3940	0.0821	-0.0001	-0.0058
0.0000	-4.0010	2.3985	0.0807	-0.0001	-0.0087
0.0000	-4.0010	2.4043	0.0794	-0.0002	-0.0116
0.0000	-4.0010	2.4114	0.0783	-0.0002	-0.0144
0.0000	-4.0010	2.4199	0.0773	-0.0002	-0.0172
0.0000	-4.0010	2.4298	0.0763	-0.0002	-0.0197
0.0000	-4.0010	2.4413	0.0753	-0.0001	-0.0221
0.0000	-4.0010	2.4544	0.0743	-0.0000	-0.0241
0.0000	-4.0010	2.4696	0.0732	0.0001	-0.0257
0.0000	-4.0010	2.4870	0.0721	0.0002	-0.0269
0.0000	-4.0010	2.5066	0.0710	0.0003	-0.0278
0.0000	-4.0010	2.5280	0.0699	0.0003	-0.0284
